from_core,to_core,baseline_2024_cost,baseline_2024_path_km,low_growth_cost,low_growth_path_km,low_growth_cost_change_percent,continuation_cost,continuation_path_km,continuation_cost_change_percent,high_development_cost,high_development_path_km,high_development_cost_change_percent
1,9,158327.90625,99.87005768509692,158327.90625,99.87005768509692,0.0,167918.515625,102.5979797464545,6.057434600225442,172023.25,105.08326112069089,8.64998727916924
1,13,344623.90625,213.62236636408824,344623.90625,213.62236636408824,0.0,353257.90625,217.5218613007002,2.5053398337771293,359070.34375,215.79393923934148,4.19194293779496
1,17,423797.5,237.5979797464514,423797.5,237.5979797464514,0.0,422252.59375,241.74011537017446,-0.364538783263233,420087.40625,256.65180361561056,-0.8754402161409636
9,13,51173.33203125,28.142135623730223,51173.33203125,28.142135623730223,0.0,49453.62109375,28.142135623727768,-3.360560802352727,47921.28515625,28.556349186100864,-6.354964091480449
9,17,88126.4453125,57.6568542494904,88126.4453125,57.6568542494904,0.0,81649.796875,57.6568542494904,-7.349267764668753,78727.375,57.6568542494904,-10.665436781400306
13,17,197494.875,106.74011537017383,197494.875,106.74011537017383,0.0,182252.265625,106.74011537017054,-7.717977175357082,175707.484375,106.74011537017164,-11.031876460085357
17,24,53994.23828125,31.414213562371888,53994.23828125,31.414213562371888,0.0,49404.93359375,31.828427124742625,-8.499619280847746,46338.0078125,31.828427124742625,-14.17971752628409
18,24,25957.55859375,9.41421356237589,25957.55859375,9.41421356237589,0.0,26905.908203125,10.242640687121535,3.653462269765776,27526.69921875,10.242640687121535,6.045023915992678
18,28,283829.09375,163.42640687118956,283829.09375,163.42640687118956,0.0,289503.9375,165.0832611206776,1.9993876156326909,293593.53125,166.74011537017896,3.440252502303598
18,33,205155.578125,117.98275605730149,205155.578125,117.98275605730149,0.0,208634.046875,117.98275605729823,1.6955272587716776,211640.765625,117.98275605729712,3.161107077502234
24,28,32787.66796875,21.00000000000093,32787.66796875,21.00000000000093,0.0,31964.16796875,21.00000000000093,-2.511615040096416,30419.95703125,21.82842712474685,-7.221345963844304
24,33,67720.0546875,39.69848480983675,67720.0546875,39.69848480983675,0.0,69548.8359375,39.69848480983675,2.7005017323731764,71373.546875,39.69848480983675,5.394992966794479
24,38,182069.453125,104.72792206135874,182069.453125,104.72792206135874,0.0,183173.71875,105.97056274847652,0.6065079045642352,182894.890625,113.42640687120385,0.4533640793841979
26,27,212299.09375,108.56854249492822,212299.09375,108.56854249492822,0.0,205575.90625,108.5685424949293,-3.1668470087381144,198874.734375,108.56854249493259,-6.323323919040517
26,31,47166.49609375,24.31370849898871,47166.49609375,24.31370849898871,0.0,45456.3125,24.31370849898871,-3.62584405326775,43790.4140625,24.72792206136181,-7.157796976352802
26,32,253825.09375,117.98275605729712,253825.09375,117.98275605729712,0.0,241552.125,117.98275605729822,-4.835207019400539,228640.734375,117.9827560572982,-9.92193443245798
27,30,373502.90625,211.35533905933312,373502.90625,211.35533905933312,0.0,356560.1875,220.8111831820508,-4.536167849430221,336339.5625,221.63961030679724,-9.94994767861997
27,31,650322.0,317.92388155424396,650322.0,317.92388155424396,0.0,611571.1875,321.2375900532344,-5.958711607480602,579224.0,323.06601717798054,-10.932737935976332
27,32,915810.0,444.1370849898333,915810.0,444.1370849898333,0.0,864392.75,446.62236636407533,-5.614401458817877,820328.1875,448.86500705119926,-10.425941243270984
27,41,299371.03125,158.19595949289376,299371.03125,158.19595949289376,0.0,289085.46875,158.19595949289487,-3.435724043523333,275031.21875,166.2964645562828,-8.130316550125455
28,33,36027.02734375,21.00000000000745,36027.02734375,21.00000000000745,0.0,35554.47265625,21.414213562380546,-1.3116671630749441,35014.85546875,21.414213562380546,-2.8094792982568753
28,38,70561.0625,37.62741699796832,70561.0625,37.62741699796832,0.0,69516.5078125,36.38477631084403,-1.480355667121651,68277.1953125,36.38477631084431,-3.236724485972699
30,36,53208.203125,30.99999999999907,53208.203125,30.99999999999907,0.0,54276.953125,30.99999999999907,2.0086188542943773,55345.703125,30.99999999999907,4.0172377085887545
30,40,234620.0,139.8528137423812,234620.0,139.8528137423812,0.0,223865.546875,143.99494936611634,-4.583775093768647,212427.5,145.40916292849107,-9.45891228369278
30,41,286854.6875,170.49242404917618,286854.6875,170.49242404917618,0.0,267894.84375,171.07821048680339,-6.609563858007375,249766.953125,171.6639969244278,-12.929101733782893
31,32,120290.890625,64.72792206134909,120290.890625,64.72792206134909,0.0,116060.4296875,64.72792206134909,-3.516858937131176,112226.296875,64.72792206134909,-6.704243112756486
33,38,76249.4296875,39.69848480982907,76249.4296875,39.69848480982907,0.0,79140.96875,39.69848480982962,3.792210740920501,81041.140625,40.87005768508261,6.2842580687335055
36,40,119231.4375,63.8406204335631,119231.4375,63.8406204335631,0.0,117047.21875,63.8406204335642,-1.8319151356369414,114923.484375,63.8406204335642,-3.6131017249540416
36,41,248247.453125,149.610173055266,248247.453125,149.610173055266,0.0,227071.703125,149.61017305526383,-8.530097583453305,205735.734375,150.43860018001,-17.12473510396664
36,43,255532.96875,114.22539674441454,255532.96875,114.22539674441454,0.0,242160.953125,116.7106781186589,-5.23299036144431,227904.796875,116.71067811865892,-10.811979373992227
38,40,50401.171875,25.55634918611079,50401.171875,25.55634918611079,0.0,50594.37109375,25.55634918611079,0.3833228704069691,50787.5703125,25.55634918611079,0.7666457408139382
38,42,54335.640625,30.28427124746256,54335.640625,30.28427124746256,0.0,54303.5,30.28427124746256,-0.059152012620629704,53947.390625,32.62741699796799,-0.714540208846576
40,42,51967.28515625,21.828427124744216,51967.28515625,21.828427124744216,0.0,50134.86328125,21.828427124744216,-3.5261066062821222,48233.203125,22.24264068711731,-7.185447575378891
40,43,289662.8125,135.02438661763907,289662.8125,135.02438661763907,0.0,278256.0625,138.33809511662318,-3.9379407738092027,264691.46875,138.338095116621,-8.620831764519306
40,45,300501.8125,143.92388155424788,300501.8125,143.92388155424788,0.0,287950.9375,147.5807358037462,-4.1766387016384465,273111.15625,147.58073580374236,-9.114972060276674
41,43,258710.109375,119.36753236814141,258710.109375,119.36753236814141,0.0,247036.59375,119.36753236814252,-4.512199253906717,234653.84375,119.78174593051452,-9.298541012995543
41,45,390901.65625,148.1076477383215,390901.65625,148.1076477383215,0.0,377571.71875,148.1076477383226,-3.4100488669904427,362092.96875,156.30865786510586,-7.369804409724856
42,50,103699.78125,51.828427124744984,103699.78125,51.828427124744984,0.0,104221.5625,61.112698372205074,0.5031652369083469,99418.359375,61.526911934578166,-4.128670112310386
43,45,65647.234375,25.5563491861035,65647.234375,25.5563491861035,0.0,61178.8828125,32.384776310845695,-6.806610522196884,56300.703125,32.38477631084678,-14.237509529509406
43,49,306567.78125,151.2132034355953,306567.78125,151.2132034355953,0.0,286991.46875,151.2132034355917,-6.385639228029609,267863.71875,151.21320343559364,-12.624960895169083
45,49,237444.71875,112.21320343559763,237444.71875,112.21320343559763,0.0,225294.0625,121.32590180780655,-5.117256898349103,207321.046875,121.32590180780736,-12.686604289866944
45,50,539999.875,276.7350647362904,539999.875,276.7350647362904,0.0,547047.0,283.7645019878145,1.3050234502369098,551023.5,284.5929291125606,2.041412509586229
45,53,665692.75,267.59797974644584,665692.75,267.59797974644584,0.0,646735.3125,269.6690475583111,-2.847775869573463,619481.0,289.96551211458535,-6.941903753646108
49,53,350951.3125,124.72792206136367,350951.3125,124.72792206136367,0.0,345314.1875,124.7279220613634,-1.6062413215793288,339286.09375,124.31370849898502,-3.3238852041620444
50,53,637808.6875,260.49242404918544,637808.6875,260.49242404918544,0.0,624846.875,260.4924240491822,-2.0322414470091394,611987.4375,260.49242404918215,-4.048431842659716
