year,from_core,to_core,candidate_path,geometry_sha256,old_cost,new_cost,old_route_candidate_cost,optimized_cost_change_pct,old_length_km,new_length_km,fallback_length_m,below95pct_coverage_valid_length_m,source_endpoint_shift_km,destination_endpoint_shift_km,new_within_1000m_of_old_pct,old_within_1000m_of_new_pct,new_within_5000m_of_old_pct,old_within_5000m_of_new_pct
2012,24,38,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_24\attempt_1f2b3fda3c.gdb\route_38_4bab2b799a,eafa682ea412d5deaadf18f8bd4e2276a208bdd2e56c953d8beaf1f41002fa56,174864.953125,175237.59375,175575.78417400154,0.21310195001373877,105.1421356237292,105.55634918610404,0.0,0.0,2.0529661472829227e-08,1.0000000071786346,100.0,100.0000000091474,100.0,100.0
2012,26,27,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_26\attempt_84bde2c0d6.gdb\route_27_113e9846bf,07919546fa67fc63fbdf1e0784f42e2230e3d8bcd553005c49716012bc7e7596,223509.359375,224367.203125,225147.33300513148,0.38380663449566477,109.69848480984002,110.52691193458121,0.0,0.0,2.053140654404533e-08,2.053227908740045e-08,99.99999999999997,99.99999999326839,100.0,100.0
2012,26,31,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_26\attempt_84bde2c0d6.gdb\route_31_8427b05f19,9a98b2dc4c18c5be455e443ea852c7de8dce1a4188f0f0f84c8d60f30345aa1a,50034.046875,50087.9375,50108.25827538841,0.10770790764662586,23.899494936615614,23.899494936611667,0.0,0.0,2.053140654404533e-08,2.052835914223407e-08,71.42857158600326,71.42857142176995,100.0,100.0
2012,26,32,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_26\attempt_84bde2c0d6.gdb\route_32_8a5495c73b,c6151cda7d27ec2957114515c5f66492c825bfa6f5ef58a31494246e57f858cf,273497.8125,274970.0,275711.9052214121,0.5382812705311935,118.15432893255138,117.5685424949238,0.0,0.0,2.0530534005854702e-08,2.0529661472829227e-08,95.18846272187425,94.22075595513525,100.0,100.0
2012,27,30,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_27\attempt_7b17f986da.gdb\route_30_2ac16fbaed,5f5cfeefa1445e93a34dc2d0e993124480a98af026bcc6222bd047e8fd3fd9f4,372966.46875,373776.4375,374566.6786333115,0.2171693216054038,203.45584412272163,205.52691193458125,0.0,0.0,2.052705740508603e-08,1.0000000192346052,85.36879305546275,86.23780010994527,100.0,100.0
2012,27,31,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_27\attempt_7b17f986da.gdb\route_31_a2daa47a3d,bf0e8b27b79c0cddbcd9e4c3122a86480bebbfc638aaaefaf2f84fbf3906c006,695424.4375,697084.0,698987.7528084836,0.23864023328918904,317.50966799187825,319.16652224137044,0.0,0.0,2.053227908740045e-08,2.052835914223407e-08,92.69544054232801,92.65732335216221,100.0,100.0
2012,27,32,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_27\attempt_7b17f986da.gdb\route_32_a44fbf9079,91cfc63c695a970a01b24def6e926d96288a747ae2254f42a81001aacfd771ae,977860.6875,979732.75,982976.824706896,0.19144470413123837,445.79393923934475,446.622366364086,0.0,3000.0,2.053227908740045e-08,2.0529661472829227e-08,88.53322017549343,88.69774312866376,100.00000000000003,99.99999999834375
2012,27,41,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_27\attempt_7b17f986da.gdb\route_41_6de5b8682c,5ba47f2ca72eff29f77e530f5f46c5e7d9abbff82bfb592c93be77c5c97104c1,313532.125,314837.34375,317862.6348464513,0.41629506067359934,158.19595949289322,158.1959594928933,0.0,0.0,2.053227908740045e-08,2.052835914223407e-08,19.117201742504147,19.117201717785832,35.02704227226892,34.86231984856593
2012,28,33,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_28\attempt_f5163b8f08.gdb\route_33_159ba36a3b,138f4416038cbb622cbf6edc890726a2da8ab8a08fac6c07aa2e70b2afb68a58,36283.96875,36249.86328125,36249.86422064772,-0.09399597101681367,21.000000000011177,21.0,0.0,0.0,2.052750166470152e-08,2.053140654404533e-08,100.0,100.0,100.0,100.0
2012,28,38,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_28\attempt_f5163b8f08.gdb\route_38_ba64ae7e43,8f23b468c675d161b08daebbd5f48a0bfb7d2b4e7988a8210b50025620d1aa64,69777.640625,70009.1796875,70114.75853289118,0.3318241494354002,35.556349186098394,35.55634918610404,0.0,0.0,2.052705740508603e-08,2.0530534005854702e-08,100.0,99.99999999225221,100.0,100.0
